iter	RMSE
0	2.805890375
1	2.755908478
2	2.710288003
3	2.668298257
4	2.63144693
5	2.597509486
6	2.565128714
7	2.534172804
8	2.505779795
9	2.482959715
10	2.460874672
11	2.44094731
12	2.42103838
13	2.40333598
14	2.387533909
15	2.370388904
16	2.354576891
17	2.341514437
18	2.326056061
19	2.314614841
20	2.302738376
21	2.29084567
22	2.280577148
23	2.269716357
24	2.259687377
25	2.250939719
26	2.242374114
27	2.235270863
28	2.225738358
29	2.217672456
30	2.21034945
31	2.204855711
32	2.198564433
33	2.191219443
34	2.184459207
35	2.178638674
36	2.17258392
37	2.167840603
38	2.162664023
39	2.158015591
40	2.153964678
41	2.14944554
42	2.146420076
43	2.142515692
44	2.13893816
45	2.134314476
46	2.12969957
47	2.126404276
48	2.122488572
49	2.119212763
50	2.115313505
51	2.111597088
52	2.108643262
53	2.106678916
54	2.103375384
55	2.101117965
56	2.097713769
57	2.09520953
58	2.093361378
59	2.091207656
60	2.088591896
61	2.086659649
62	2.084838312
63	2.082863686
64	2.080523461
65	2.077365561
66	2.07427467
67	2.071620737
68	2.069404405
69	2.068029812
70	2.066474033
71	2.0635245
72	2.062084344
73	2.059708537
74	2.058356992
75	2.055931959
76	2.054177232
77	2.052791112
78	2.051462113
79	2.049327004
80	2.047143322
81	2.045495434
82	2.043731259
83	2.042462764
84	2.040203492
85	2.038596351
86	2.0374367
87	2.035900547
88	2.034762131
89	2.033705261
90	2.031992763
91	2.030571725
92	2.028900589
93	2.027592338
94	2.026082175
95	2.0239581
96	2.022523759
97	2.021225472
98	2.019863091
99	2.019165602
100	2.018224521
101	2.016922578
102	2.015276
103	2.014343356
104	2.01344773
105	2.012345639
106	2.011125814
107	2.009902197
108	2.009351091
109	2.008399226
110	2.007272513
111	2.006492322
112	2.005785407
113	2.004444572
114	2.003751196
115	2.002706082
116	2.001953496
117	2.000516379
118	1.999327703
119	1.998321857
120	1.997661725
121	1.996651056
122	1.995443446
123	1.994560994
124	1.993543235
125	1.992666006
126	1.991489593
127	1.990338074
128	1.98952128
129	1.988534979
130	1.987905989
131	1.987160948
132	1.986127417
133	1.985544652
134	1.984316582
135	1.983411482
136	1.98275859
137	1.981627924
138	1.980483113
139	1.979543182
140	1.97861077
141	1.977347525
142	1.9763748
143	1.975432608
144	1.974725832
145	1.973896022
146	1.972976148
147	1.971781609
148	1.97110992
149	1.970656835
150	1.969509888
151	1.968683931
152	1.967238224
153	1.96640164
154	1.965423624
155	1.964239708
156	1.963571282
157	1.962734048
158	1.961851032
159	1.960874757
160	1.959452178
161	1.958802143
162	1.958011848
163	1.957444013
164	1.956677391
165	1.956106744
166	1.955211792
167	1.95422454
168	1.953400427
169	1.952649176
170	1.95186067
171	1.950736599
172	1.94988622
173	1.94839234
174	1.947509025
175	1.946457292
176	1.945800012
177	1.944741956
178	1.944046649
179	1.943315404
180	1.942468592
181	1.941641183
182	1.940486082
183	1.939725658
184	1.938746906
185	1.937787444
186	1.93673139
187	1.935889456
188	1.934990112
189	1.933719742
190	1.933052906
191	1.932107727
192	1.931469352
193	1.93036626
194	1.929435443
195	1.928500624
196	1.927711477
197	1.927002397
198	1.926139009
199	1.925433702
200	1.924808199
201	1.924153268
202	1.923163831
203	1.92226838
204	1.92142006
205	1.920526412
206	1.91964377
207	1.918526532
208	1.917758273
209	1.916947964
210	1.916084818
211	1.915134782
212	1.914403723
213	1.91369209
214	1.912903358
215	1.912135002
216	1.911093158
217	1.910289183
218	1.90961067
219	1.908730407
220	1.907994619
221	1.907392456
222	1.906567553
223	1.90597931
224	1.905226648
225	1.904497716
226	1.903741205
227	1.9029552
228	1.902278786
229	1.901538299
230	1.900856807
231	1.900074767
232	1.89937459
233	1.898645872
234	1.897942981
235	1.897217121
236	1.896535838
237	1.896012128
238	1.895045768
239	1.894189645
240	1.893271073
241	1.892477102
242	1.891947214
243	1.891368355
244	1.890738587
245	1.890071884
246	1.889338145
247	1.888362878
248	1.887542222
249	1.886677248
250	1.885918478
251	1.885117582
252	1.884372758
253	1.883452786
254	1.882620883
255	1.881732954
256	1.88118871
257	1.880678023
258	1.88000996
259	1.879131318
260	1.878333502
261	1.877469201
262	1.876905914
263	1.876130282
264	1.875296327
265	1.874478277
266	1.873603421
267	1.872843648
268	1.872062963
269	1.871276901
270	1.870455617
271	1.869840043
272	1.869283841
273	1.868576884
274	1.867663282
275	1.866718153
276	1.865795757
277	1.865129258
278	1.864308716
279	1.863670015
280	1.8629322
281	1.862328716
282	1.861395795
283	1.86057244
284	1.859824261
285	1.85896686
286	1.858424603
287	1.857606505
288	1.856575863
289	1.856010361
290	1.855371888
291	1.854481524
292	1.853909248
293	1.852872127
294	1.852058136
295	1.851226572
296	1.85049371
297	1.849766764
298	1.849217762
299	1.848561863
300	1.847983645
301	1.847316583
302	1.846516838
303	1.845838723
304	1.845050578
305	1.844419975
306	1.843572042
307	1.842794626
308	1.842284588
309	1.841629409
310	1.840847564
311	1.840145302
312	1.839290049
313	1.838286945
314	1.837699331
315	1.837152437
316	1.836562077
317	1.835805378
318	1.835155236
319	1.834377307
320	1.833851014
321	1.832949791
322	1.83232251
323	1.831628804
324	1.830909783
325	1.830447846
326	1.829637279
327	1.828602288
328	1.827916139
329	1.827124315
330	1.826519375
331	1.825711991
332	1.824897545
333	1.82441767
334	1.823810902
335	1.823241458
336	1.822440709
337	1.821763353
338	1.821299311
339	1.82017553
340	1.81938585
341	1.818515589
342	1.817921255
343	1.8173675
344	1.816699517
345	1.816124352
346	1.815500619
347	1.814994493
348	1.814375511
349	1.813705699
350	1.812998106
351	1.812167009
352	1.811487024
353	1.810781183
354	1.80998525
355	1.809290087
356	1.808751327
357	1.807965951
358	1.807194061
359	1.806824124
360	1.806341172
361	1.805401429
362	1.804768057
363	1.803943225
364	1.80315863
365	1.802472969
366	1.801850385
367	1.801136037
368	1.800657764
369	1.799914873
370	1.799050797
371	1.798609742
372	1.797818864
373	1.797171302
374	1.796531153
375	1.795832291
376	1.795098751
377	1.794567968
378	1.793871045
379	1.793294717
380	1.7928421
381	1.792256991
382	1.791748072
383	1.790895593
384	1.790323885
385	1.789879202
386	1.789355875
387	1.788744321
388	1.788142602
389	1.787323339
390	1.786878828
391	1.786142226
392	1.785711275
393	1.785245428
394	1.784670184
395	1.783946261
396	1.783552611
397	1.782981512
398	1.782620334
399	1.781949542
400	1.781468281
401	1.780929662
402	1.780086003
403	1.779325877
404	1.778625582
405	1.777956967
406	1.777450318
407	1.776724635
408	1.776112515
409	1.775369341
410	1.774724571
411	1.774110151
412	1.773625072
413	1.772816047
414	1.772202732
415	1.771377261
416	1.770791608
417	1.770380734
418	1.769679949
419	1.769123826
420	1.76863086
421	1.768018052
422	1.767489042
423	1.766866225
424	1.766211079
425	1.765597991
426	1.765139684
427	1.764463993
428	1.763686106
429	1.763062884
430	1.762283451
431	1.761380222
432	1.760956323
433	1.76047925
434	1.759769368
435	1.759251977
436	1.758646016
437	1.758077003
438	1.757698352
439	1.757067767
440	1.756676837
441	1.756035081
442	1.75554082
443	1.754775908
444	1.754258195
445	1.753916157
446	1.753291383
447	1.752752384
448	1.752216519
449	1.751707345
450	1.751152319
451	1.750463038
452	1.749843489
453	1.749401879
454	1.74881532
455	1.748428971
456	1.747939953
457	1.747284445
458	1.746761281
459	1.746026147
460	1.745227985
461	1.744628846
462	1.744008714
463	1.743410247
464	1.742884122
465	1.742289751
466	1.741760611
467	1.741102565
468	1.740368467
469	1.739765103
470	1.73904225
471	1.738600199
472	1.738025693
473	1.737540805
474	1.736879152
475	1.736141265
476	1.73560171
477	1.735014918
478	1.734572874
479	1.733847105
480	1.733306898
481	1.732744252
482	1.73210467
483	1.731547617
484	1.730792748
485	1.730033878
486	1.729514497
487	1.729096561
488	1.728617609
489	1.728254446
490	1.727818636
491	1.727291499
492	1.726517726
493	1.725962558
494	1.725327868
495	1.724966368
496	1.724492734
497	1.724001268
498	1.723455435
499	1.72303239
500	1.722279743
501	1.721675849
502	1.721142843
503	1.720705285
504	1.720221751
505	1.719500872
506	1.719011516
507	1.71856437
508	1.718003143
509	1.717486855
510	1.716984607
511	1.716488624
512	1.715971634
513	1.715344329
514	1.714794546
515	1.714062661
516	1.71359906
517	1.712912573
518	1.712288465
519	1.711768567
520	1.711348948
521	1.710532229
522	1.70995794
523	1.709447866
524	1.708957072
525	1.708330864
526	1.70767115
527	1.707208768
528	1.706442373
529	1.705815245
530	1.705227013
531	1.704701465
532	1.704200663
533	1.703528197
534	1.702946815
535	1.702509995
536	1.701811017
537	1.701244255
538	1.700546319
539	1.699889667
540	1.699420382
541	1.698664175
542	1.698018297
543	1.697593999
544	1.69715785
545	1.696700166
546	1.696170071
547	1.695553492
548	1.694952674
549	1.694449625
550	1.693979053
551	1.693457631
552	1.692977379
553	1.692375815
554	1.691726862
555	1.691203071
556	1.690636506
557	1.690180735
558	1.68978022
559	1.689148784
560	1.688731036
561	1.68813165
562	1.687469365
563	1.686969561
564	1.68661585
565	1.686067334
566	1.685608813
567	1.685049873
568	1.684636088
569	1.684195491
570	1.683625113
571	1.683272334
572	1.682652123
573	1.682238818
574	1.681806726
575	1.68134346
576	1.680787791
577	1.680337326
578	1.679697934
579	1.679281828
580	1.67869293
581	1.677955966
582	1.677545028
583	1.677134261
584	1.676524672
585	1.67599337
586	1.675638447
587	1.67492978
588	1.674218615
589	1.673598738
590	1.673050521
591	1.67255581
592	1.672154631
593	1.671538936
594	1.671206165
595	1.670675907
596	1.669969577
597	1.669406862
598	1.66883741
599	1.668331414
600	1.667717333
601	1.667154269
602	1.666545315
603	1.666032907
604	1.66555108
605	1.665066673
606	1.664288245
607	1.663619379
608	1.662970783
609	1.662552272
610	1.661793588
611	1.661267801
612	1.660850127
613	1.660377284
614	1.659702562
615	1.659177541
616	1.658518055
617	1.658000908
618	1.657531182
619	1.656961747
620	1.656468165
621	1.656203987
622	1.655709409
623	1.655220911
624	1.654754937
625	1.654424157
626	1.654043799
627	1.653697371
628	1.65301295
629	1.652472881
630	1.652068305
631	1.651640291
632	1.651167725
633	1.650713757
634	1.650213571
635	1.649666751
636	1.649152893
637	1.648688028
638	1.648086398
639	1.647441799
640	1.6468349
641	1.646302228
642	1.645787545
643	1.645390082
644	1.644970019
645	1.644595264
646	1.644172426
647	1.643825379
648	1.643049646
649	1.642478134
650	1.642058813
651	1.641692637
652	1.641084748
653	1.640476583
654	1.640024183
655	1.63949194
656	1.639159055
657	1.638569495
658	1.638226494
659	1.637770424
660	1.637270689
661	1.636751467
662	1.636128857
663	1.635729013
664	1.635223648
665	1.634776498
666	1.634228288
667	1.633650993
668	1.633438778
669	1.632980251
670	1.632503053
671	1.632103929
672	1.631447979
673	1.630985823
674	1.630410972
675	1.630049828
676	1.629623724
677	1.629140894
678	1.628788092
679	1.628288983
680	1.627811928
681	1.627161592
682	1.626579021
683	1.625973179
684	1.625489462
685	1.625012407
686	1.624531716
687	1.624126543
688	1.623618992
689	1.62319383
690	1.622610531
691	1.621900632
692	1.621329754
693	1.620944912
694	1.620342642
695	1.619830676
696	1.619373436
697	1.619037507
698	1.618715348
699	1.61841069
700	1.617953646
701	1.617484755
702	1.61700699
703	1.6164619
704	1.615973877
705	1.615349071
706	1.614900544
707	1.614397816
708	1.613874129
709	1.613233749
710	1.612865432
711	1.612444221
712	1.611881771
713	1.61148665
714	1.611032084
715	1.610667102
716	1.610127268
717	1.609655742
718	1.60921088
719	1.608771694
720	1.608190462
721	1.60778915
722	1.607312092
723	1.60684847
724	1.606286116
725	1.605917514
726	1.605464231
727	1.605005561
728	1.604592141
729	1.604182518
730	1.603689188
731	1.603136947
732	1.602615172
733	1.602050614
734	1.601529155
735	1.601105889
736	1.600834593
737	1.600145637
738	1.599407892
739	1.598929776
740	1.598555334
741	1.598197885
742	1.597877382
743	1.597322601
744	1.596917342
745	1.596485216
746	1.596085971
747	1.595579572
748	1.595213736
749	1.594665796
750	1.594090261
751	1.593684168
752	1.59323677
753	1.592526704
754	1.592061358
755	1.591617943
756	1.591281573
757	1.590857691
758	1.59051123
759	1.590095276
760	1.589644925
761	1.58913084
762	1.588713125
763	1.588204764
764	1.587609078
765	1.587175834
766	1.586837752
767	1.586347329
768	1.585799819
769	1.58541481
770	1.58483443
771	1.584316684
772	1.583825034
773	1.583230888
774	1.582842954
775	1.582527801
776	1.581980993
777	1.58163343
778	1.581144719
779	1.580610604
780	1.580134164
781	1.579755192
782	1.579263586
783	1.578643529
784	1.578288519
785	1.577792667
786	1.577451579
787	1.577026291
788	1.576756305
789	1.576286973
790	1.575871353
791	1.575316787
792	1.57490843
793	1.574543884
794	1.574118346
795	1.573781926
796	1.573352129
797	1.573049962
798	1.572405174
799	1.57196553
800	1.571561531
801	1.57098127
802	1.57064844
803	1.570067147
804	1.569545594
805	1.569062926
806	1.568629668
807	1.56809529
808	1.567726756
809	1.567308154
810	1.566815131
811	1.56647004
812	1.565876227
813	1.565500283
814	1.565102816
815	1.564522118
816	1.564080027
817	1.563483381
818	1.562990263
819	1.562574162
820	1.562192935
821	1.561672813
822	1.561171432
823	1.560726694
824	1.560267411
825	1.559779547
826	1.559409364
827	1.558972947
828	1.558353727
829	1.557940933
830	1.55735092
831	1.55705168
832	1.556546256
833	1.556151157
834	1.555756814
835	1.555270294
836	1.554821971
837	1.554377628
838	1.554103463
839	1.553834811
840	1.553432026
841	1.553041973
842	1.552650855
843	1.552212323
844	1.551515228
845	1.551168954
846	1.550684218
847	1.550314831
848	1.549821833
849	1.549288552
850	1.548638947
851	1.548108251
852	1.547733785
853	1.547212446
854	1.546753973
855	1.546378585
856	1.545970062
857	1.545652369
858	1.545353116
859	1.544958589
860	1.544622458
861	1.543954179
862	1.543384973
863	1.542982796
864	1.542604198
865	1.542309627
866	1.541994048
867	1.541361192
868	1.540936834
869	1.54063111
870	1.54011375
871	1.539855315
872	1.539233315
873	1.538813303
874	1.538329772
875	1.537855438
876	1.537463156
877	1.537071517
878	1.536652364
879	1.536363309
880	1.535861402
881	1.535360307
882	1.534853422
883	1.534152328
884	1.533556777
885	1.53308508
886	1.532784884
887	1.532585933
888	1.532088429
889	1.53160975
890	1.531190161
891	1.530884353
892	1.530515914
893	1.530096227
894	1.529676416
895	1.529128743
896	1.528811429
897	1.528433942
898	1.528046116
899	1.527724355
900	1.527291943
901	1.526775561
902	1.526421344
903	1.526105617
904	1.525737585
905	1.525299074
906	1.524914736
907	1.524258836
908	1.523752159
909	1.523370536
910	1.523033492
911	1.522724848
