iter	Passed	Remaining
0	2	2223
1	4	2230
2	6	2212
3	8	2176
4	11	2227
5	13	2208
6	15	2215
7	17	2205
8	19	2193
9	21	2150
10	23	2126
11	26	2170
12	28	2138
13	30	2114
14	31	2084
15	33	2059
16	35	2046
17	37	2027
18	38	2001
19	40	1993
20	42	1970
21	44	1959
22	45	1944
23	47	1926
24	49	1924
25	51	1910
26	52	1896
27	54	1881
28	56	1875
29	57	1855
30	58	1842
31	60	1830
32	62	1818
33	63	1803
34	65	1794
35	66	1783
36	68	1770
37	69	1761
38	71	1752
39	72	1743
40	74	1731
41	75	1733
42	77	1726
43	79	1723
44	80	1712
45	82	1705
46	83	1700
47	85	1694
48	86	1685
49	88	1683
50	90	1675
51	91	1668
52	92	1661
53	95	1666
54	96	1658
55	99	1675
56	100	1667
57	102	1660
58	103	1655
59	105	1650
60	106	1643
61	108	1643
62	110	1637
63	111	1632
64	113	1628
65	114	1623
66	116	1618
67	118	1617
68	119	1612
69	120	1607
70	122	1601
71	123	1597
72	125	1591
73	127	1590
74	128	1586
75	130	1580
76	131	1576
77	133	1572
78	134	1568
79	135	1563
80	137	1562
81	139	1557
82	140	1552
83	142	1550
84	143	1546
85	145	1542
86	146	1539
87	148	1536
88	149	1531
89	150	1526
90	152	1525
91	154	1521
92	155	1517
93	157	1514
94	158	1511
95	160	1507
96	161	1503
97	163	1501
98	164	1499
99	166	1495
100	167	1494
101	169	1491
102	170	1487
103	172	1487
104	174	1484
105	175	1480
106	177	1478
107	178	1476
108	180	1473
109	181	1470
110	183	1469
111	184	1465
112	186	1461
113	187	1457
114	189	1457
115	190	1454
116	192	1453
117	194	1450
118	195	1446
119	196	1442
120	198	1439
121	199	1437
122	201	1434
123	202	1431
124	204	1429
125	205	1426
126	207	1424
127	208	1421
128	210	1421
129	211	1418
130	213	1416
131	215	1414
132	216	1411
133	218	1410
134	219	1408
135	221	1405
136	222	1402
137	223	1398
138	225	1398
139	227	1395
140	228	1392
141	230	1390
142	231	1388
143	233	1385
144	234	1383
145	236	1381
146	237	1379
147	239	1376
148	240	1373
149	241	1371
150	243	1369
151	244	1366
152	246	1366
153	248	1363
154	249	1362
155	251	1360
156	253	1358
157	254	1356
158	256	1354
159	257	1352
160	259	1350
161	260	1349
162	262	1347
163	263	1344
164	265	1342
165	266	1340
166	268	1338
167	269	1336
168	271	1334
169	272	1332
170	274	1330
171	276	1329
172	277	1326
173	279	1324
174	280	1323
175	282	1321
176	283	1319
177	285	1317
178	286	1315
179	288	1312
180	289	1311
181	291	1309
182	292	1306
183	294	1304
184	295	1301
185	297	1301
186	298	1299
187	300	1297
188	301	1295
189	303	1292
190	304	1289
191	306	1288
192	307	1286
193	309	1284
194	310	1282
195	312	1281
196	313	1278
197	315	1276
198	316	1275
199	318	1273
200	319	1270
201	321	1268
202	322	1266
203	324	1265
204	325	1262
205	326	1259
206	328	1257
207	329	1255
208	331	1253
209	332	1251
210	334	1250
211	335	1248
212	337	1246
213	338	1244
214	340	1243
215	342	1241
216	343	1239
217	345	1239
218	346	1236
219	348	1234
220	349	1233
221	351	1231
222	352	1229
223	354	1227
224	355	1225
225	357	1223
226	358	1221
227	360	1219
228	361	1218
229	363	1215
230	364	1214
231	366	1212
232	367	1210
233	368	1207
234	370	1205
235	371	1203
236	373	1201
237	374	1199
238	376	1197
239	377	1195
240	379	1194
241	380	1191
